id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
145590888,6ddeb141-b15b-4b49-a6d9-74e6c9cafb49,2023-01-01 09:33:49-08:00,2023-01-01,2023-01-01 17:33:49 UTC,Pacific Time (US & Canada),314738,vireosylva,Phoebe Barnes,2023-01-01 17:34:01 UTC,2025-03-10 22:46:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/145590888,,https://static.inaturalist.org/sounds/579541.m4a?1672594443,"","",1,0,false,3,"Carlsbad, CA, US",33.0993388266,-117.2329571917,5,,,,5,,open,false,,,Cuicacoche californiano,Toxostoma redivivum,California Thrasher,Aves,14906
145591027,9ee0ba1a-78ed-4dcc-ba79-72872f9e71c6,2023-01-01 08:43:18,2023-01-01,2023-01-01 16:43:18 UTC,Pacific Time (US & Canada),6044455,susanelizabeth82,Susan Endres,2023-01-01 17:34:56 UTC,2023-04-29 08:21:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/145591027,https://inaturalist-open-data.s3.amazonaws.com/photos/250109171/medium.jpeg,,"",,2,0,false,2,"Loma Alta, Oceanside, CA, USA",33.2078751,-117.3444992,,,,,,,open,false,gps,gps,Shaggy Mane,Coprinus comatus,Shaggy Mane,Fungi,47392
145591107,3868b2d1-0f68-4d1d-8ffd-453fec35fde3,2023-01-01 09:16:13,2023-01-01,2023-01-01 17:16:13 UTC,Pacific Time (US & Canada),739273,wipartstudio,WiPartstudio,2023-01-01 17:36:03 UTC,2023-01-17 20:07:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/145591107,https://inaturalist-open-data.s3.amazonaws.com/photos/250109371/medium.jpeg,,"",In a yard with compost by a neighborhood road,1,0,false,2,"Roseville - Fleet Ridge, San Diego, CA, USA",32.7243055556,-117.2340388889,,,,,,,,false,gps,gps,Banded Mottlegill,Panaeolus cinctulus,Banded Mottlegill,Fungi,418443
145594144,fa4f00bd-8600-4b8e-a526-1f2cc0de5ad9,2023-01-01 10:09:21,2023-01-01,2023-01-01 18:09:21 UTC,Pacific Time (US & Canada),5669223,jedililou,Aliza,2023-01-01 18:15:45 UTC,2023-01-01 19:24:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/145594144,https://inaturalist-open-data.s3.amazonaws.com/photos/250115003/medium.jpeg,,"",,1,0,false,2,"Bus Tour Loading, San Diego, CA 92101, USA",32.7354399,-117.1497216,,,,,,,open,false,gps,gps,Fox Squirrel,Sciurus niger,Eastern Fox Squirrel,Mammalia,46020
145597182,69b10b6c-f7cb-4532-88d7-a73bae8ac295,2023-01-01 10:53:30-08:00,2023-01-01,2023-01-01 18:53:30 UTC,Pacific Time (US & Canada),6109020,jonnytoste,Jonny Tostenson,2023-01-01 18:56:29 UTC,2024-09-23 19:34:32 UTC,research,CC0,https://www.inaturalist.org/observations/145597182,https://inaturalist-open-data.s3.amazonaws.com/photos/250120869/medium.jpg,,"",Lower leaf of ok species. ,1,0,false,3,"Del Mar Mesa, San Diego, CA, US",32.9285672991,-117.1736456421,1058,,,,1058,,,false,,,Crown Whitefly,Aleuroplatus coronata,Crown Whitefly,Insecta,417217
145597747,4a265cb7-80d0-42e8-91e6-f23d1905ffea,Sun Jan 01 2023 11:02:36 GMT-0800 (PST),2023-01-01,2023-01-01 19:02:36 UTC,Pacific Time (US & Canada),2533839,bgraham,,2023-01-01 19:04:25 UTC,2023-01-04 16:28:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/145597747,https://inaturalist-open-data.s3.amazonaws.com/photos/250121926/medium.jpg,,"",,3,0,false,3,"Golden Gate Dr, San Diego, CA, US",32.7615782911,-117.1539017258,248,,,,248,,open,false,,,lemonade berry,Rhus integrifolia,lemonade berry,Plantae,55009
145598045,026b8009-426e-4018-8045-5593075963c0,2023-01-01 11:08:51-08:00,2023-01-01,2023-01-01 19:08:51 UTC,Pacific Time (US & Canada),398680,dhosa,dhosa,2023-01-01 19:09:12 UTC,2023-01-02 17:03:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/145598045,https://inaturalist-open-data.s3.amazonaws.com/photos/250122535/medium.jpg,,"","",1,0,false,3,United States,32.7874856847,-116.8415521824,4,,,,29066,,obscured,true,,,Munz's sage,Salvia munzii,Munz's sage,Plantae,78971
145598276,79dcd282-1931-40d0-8679-f1afc1e2b825,2023-01-01 11:12:07-08:00,2023-01-01,2023-01-01 19:12:07 UTC,Pacific Time (US & Canada),5487747,hannah_jugar,Hannah Jugar,2023-01-01 19:12:36 UTC,2023-01-01 21:32:56 UTC,research,,https://www.inaturalist.org/observations/145598276,https://static.inaturalist.org/photos/250125324/medium.jpg,,"","",1,0,false,3,"San Miguel Rd, Bonita, CA, US",32.6827363885,-117.0046019778,79,,,,79,,open,false,,,Green Garden Snail,Cantareus apertus,Green Garden Snail,Mollusca,96707
145598359,195eede0-d162-4ab3-8d7e-52cb15b8dd6b,2023-01-01 11:12:26-08:00,2023-01-01,2023-01-01 19:12:26 UTC,Pacific Time (US & Canada),398680,dhosa,dhosa,2023-01-01 19:13:53 UTC,2023-01-02 17:24:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/145598359,https://inaturalist-open-data.s3.amazonaws.com/photos/250123028/medium.jpg,,"","",2,0,false,3,United States,32.7335435407,-116.9455844614,4,,,,29066,,obscured,true,,,variegated liveforever,Dudleya variegata,variegated liveforever,Plantae,76741
145598392,277e2fda-6936-4e1c-98de-7d1201cfbfe2,Sun Jan 01 2023 11:14:19 GMT -0800 (GMT-8),2023-01-01,2023-01-01 19:14:19 UTC,Pacific Time (US & Canada),297742,joyce10,Joyce Staley Salazar,2023-01-01 19:14:35 UTC,2023-01-02 17:12:34 UTC,research,,https://www.inaturalist.org/observations/145598392,https://static.inaturalist.org/photos/250127215/medium.jpeg,,"",,1,0,false,333,Chula Vista,32.6452407837,-117.0120773315,82,,,,82,,open,false,,,vanilla-scented wattle,Acacia redolens,vanilla-scented wattle,Plantae,75254
